company,brand,variety,target,CFBAI_approved,meet_IWG_criteria,npi2006,npi2009,npi2012,serving_size_g,calories_kcal,fiber_g,sugar_g,sodium_mg,sugar_perc_g,fiber_perc_g,sodium_mg_per100g
Nature's Path,Flax Plus,Pumpkin Raisin Crunch,Adult,No,Yes,,,56,55,210,7,13,150,0.24,0.127,273
Nature's Path,Flax Plus,Raisin Bran Flakes,Adult,No,Yes,,,58,55,190,8,12,190,0.22,0.145,345
Nature's Path,Flax Plus,Red Berry Crunch,Adult,No,Yes,,58,58,55,210,5,10,160,0.18,0.091,291
Nature's Path,Fruit Juice Sweetened Corn Flakes,,Adult,No,Yes,,,58,30,120,0,3,125,0.1,0,417
Nature's Path,Heritage Crunch,,Adult,No,Yes,,,58,55,230,6,6,210,0.11,0.109,382
Nature's Path,Sunrise,Crunchy Maple,Adult,No,No,,,54,30,110,3,7,130,0.23,0.1,433
Nature's Path,Sunrise,Crunchy Vanilla,Adult,No,No,,,54,30,110,3,7,130,0.23,0.1,433
Newman's  Own,Newman's  Own Sweet Enough,Cinnamon Fiber Flakes,Adult,No,Yes,,,74,30,90,8,6,0,0.2,0.267,0
Newman's  Own,Newman's  Own Sweet Enough,Flake n Strawberry,Adult,No,No,,54,54,30,110,2,8,130,0.27,0.067,433
Newman's  Own,Newman's  Own Sweet Enough,Honey Flax Flakes,Adult,No,No,,58,56,30,100,4,8,80,0.27,0.133,267
Newman's  Own,Newman's  Own Sweet Enough,Vanilla Almond,Adult,No,Yes,,,54,30,110,2,7,125,0.23,0.067,417
Peace Cereal,Peace Cereal,Apple Cinnamon,Adult,No,No,,,52,55,220,3,12,300,0.22,0.055,545
Peace Cereal,Peace Cereal,Blueberry Pomegranate,Adult,No,Yes,,,70,55,240,3,14,20,0.25,0.055,36
Peace Cereal,Peace Cereal,Cherry Almond,Adult,No,Yes,,,58,55,240,3,13,75,0.24,0.055,136
Peace Cereal,Peace Cereal,French Vanilla Granola,Adult,No,No,,56,56,55,240,3,15,70,0.27,0.055,127
Peace Cereal,Peace Cereal,Goji Berry,Adult,No,Yes,,,70,55,210,5,7,190,0.13,0.091,345
Peace Cereal,Peace Cereal,Golden Honey Granola,Adult,No,Yes,,76,58,55,240,4,10,120,0.18,0.073,218
Peace Cereal,Peace Cereal,Hearty Raisin Bran,Adult,No,Yes,,,70,55,190,8,9,170,0.16,0.145,309
Peace Cereal,Peace Cereal,Mango Passion,Adult,No,No,,46,46,55,230,2,10,330,0.18,0.036,600
Peace Cereal,Peace Cereal,Maple Pecan,Adult,No,Yes,,54,54,55,240,3,11,220,0.2,0.055,400
Peace Cereal,Peace Cereal,Raspberry Ginger,Adult,No,Yes,,54,54,55,230,3,12,230,0.22,0.055,418
Peace Cereal,Peace Cereal,Vanilla Almond,Adult,No,Yes,,52,54,55,240,3,11,210,0.2,0.055,382
Peace Cereal,Peace Cereal,Walnut Spice,Adult,No,No,,,52,55,230,5,17,160,0.31,0.091,291
Peace Cereal,Peace Cereal,Wild Berry Crisp,Adult,No,No,,40,56,55,220,3,7,330,0.13,0.055,600
Post,Alpha Bits,,Family,Yes,No,70,46,44,28,110,2,10,180,0.36,0.071,643
Post,Bran Flakes,,Adult,No,No,50,50,54,30,100,5,5,180,0.17,0.167,600
Post,Golden Crisp,,Family,No,No,44,46,46,27,110,1,14,25,0.52,0.037,93
Post,Grape Nuts,(Regular),Adult,No,No,70,,70,58,200,7,5,290,0.09,0.121,500
Post,Grape Nuts,Flakes,Adult,No,No,58,58,58,29,110,3,4,125,0.14,0.103,431
Post,Honey Bunches of Oats,Honey Roasted,Adult,No,No,50,54,54,30,120,2,6,140,0.2,0.067,467
Post,Honey Bunches of Oats,Raisin Medley,Adult,No,No,,,54,52,200,2,14,180,0.27,0.038,346
Post,Honey Bunches of Oats,with Almonds,Adult,No,No,52,52,54,32,130,2,6,135,0.19,0.063,422
Post,Honey Bunches of Oats,with Cinnamon Clusters,Adult,No,No,,54,54,30,120,2,6,150,0.2,0.067,500
Post,Honey Bunches of Oats,with Pecan Bunches,Adult,No,No,,,48,29,120,1,6,140,0.21,0.034,483
Post,Honey Bunches of Oats,with Real Strawberries,Adult,No,Yes,48,52,54,31,120,2,8,125,0.26,0.065,403
Post,Honey Bunches of Oats,with Vanillla Clusters,Adult,No,Yes,,54,58,56,220,4,12,170,0.21,0.071,304
